age,workclass,fnlwgt,capital-gain
43, Self-emp-inc,405601,0
34, Private,240979,0
47, Local-gov,202606,0
58, Private,220896,0
20, Private,24274,0
26, Private,263444,14344
51, Local-gov,99064,0
53, Private,203967,0
53, State-gov,94186,0
68, ?,110931,0
46, Local-gov,66934,0
32, Self-emp-inc,196385,0
42, Private,47012,0
28, Private,216013,0
67, Self-emp-not-inc,98921,0
23, Private,320294,0
27, Private,247102,0
65, Private,155632,0
22, Self-emp-inc,120753,0
27, Private,213921,0
30, Private,94235,0
44, Private,84141,0
35, Private,237943,0
27, Private,225895,0
36, Local-gov,126569,0
42, State-gov,172307,0
32, Private,111520,0
53, Private,283079,0
41, Private,109969,0
65, Private,146159,0
22, State-gov,247319,0
65, Local-gov,200764,0
21, Private,123868,0
28, Private,137063,0
24, Private,112137,0
39, Private,188069,15024
52, Private,102828,0
18, Private,187221,0
62, Private,343982,0
28, Self-emp-not-inc,146949,0
41, Private,150011,0
28, Private,107812,6849
43, Private,207392,3103
61, State-gov,140851,0
26, Private,216842,0
34, Private,112115,0
21, Local-gov,185279,0
60, Private,194980,0
28, Private,189530,0
32, Self-emp-not-inc,38158,7298
55, ?,246219,2105
51, Private,143822,0
48, Private,300851,0
37, Private,184874,1151
40, Private,83827,0
44, Private,112847,0
27, Private,581128,0
55, Self-emp-not-inc,202652,0
40, Private,171888,0
30, Private,45427,0
36, Private,185848,0
74, Private,282553,0
34, Federal-gov,153614,0
48, Private,65353,0
44, Private,244172,0
48, Private,148995,14084
25, Private,274228,0
33, Private,156383,0
49, Private,47403,0
75, ?,226593,0
33, Self-emp-not-inc,94041,0
29, Private,271710,0
47, Federal-gov,231797,0
33, Private,188403,0
65, Private,444725,0
17, Private,242605,0
58, Private,244605,0
55, Private,335276,0
37, Self-emp-not-inc,284616,0
60, Private,162151,0
25, Private,60358,0
34, Private,151693,0
20, ?,369907,0
26, Private,171636,0
34, Private,118901,0
48, State-gov,28419,0
34, Private,608881,0
31, Self-emp-inc,112564,0
25, Private,171472,0
20, Private,236804,0
38, Private,212252,0
69, Private,119907,0
27, Local-gov,352797,0
32, Private,97281,0
65, Private,154351,2993
22, Private,117606,0
25, Private,222089,0
40, Private,199668,0
29, Local-gov,194869,0
33, Private,283268,0
60, Private,170278,0
28, Federal-gov,90787,0
28, Private,110749,0
72, Self-emp-not-inc,173864,2290
35, Private,278442,7298
33, State-gov,162705,0
36, Private,326352,0
18, Private,105854,0
38, Self-emp-inc,116608,0
48, Private,182655,0
22, Private,213834,0
29, Private,42881,0
81, Self-emp-not-inc,240414,0
19, Private,37688,0
39, Self-emp-not-inc,189922,0
20, ?,323309,0
41, Federal-gov,341638,0
50, Private,114758,0
54, Private,288557,0
18, ?,191817,0
18, Private,222851,0
54, Private,93605,0
47, Private,263984,0
21, Private,190916,0
22, Private,384787,0
19, Local-gov,43921,0
37, Private,183739,0
37, Private,490871,0
31, Private,173473,0
31, Self-emp-not-inc,24504,0
60, Private,113080,0
43, Private,197093,0
65, Private,56924,0
33, Federal-gov,207723,0
32, Private,327902,0
36, Private,197860,0
53, Private,95647,0
50, Private,98227,0
23, Private,430151,0
60, Private,73069,0
32, Private,101345,0
36, Private,196123,0
20, Private,24008,0
39, Private,67433,0
35, ?,224466,0
29, Private,292120,0
52, Private,198362,0
41, Private,231507,0
28, Private,216178,0
52, ?,91447,0
40, Private,232820,0
40, Private,53956,0
22, Private,155913,0
69, Private,104827,0
28, Private,197222,0
57, Private,255406,0
54, Federal-gov,278076,5178
41, Local-gov,231348,0
28, Private,196286,0
39, Private,76417,0
39, Self-emp-inc,190964,3137
57, Federal-gov,239486,7688
18, Private,101709,0
53, Private,120914,0
44, Private,60722,0
28, Private,257405,0
61, Private,32209,0
45, Private,431245,0
52, Self-emp-not-inc,95082,0
57, Private,220986,0
40, Private,87771,0
72, Self-emp-inc,199233,0
23, Private,133515,0
46, Private,117310,0
51, Private,163027,0
46, Private,169711,0
43, Private,91317,0
42, Private,106159,0
53, Local-gov,177063,0
31, Private,175059,0
35, Private,129573,15024
59, Private,169611,0
38, Private,247506,0
19, Private,37085,0
25, Private,202033,0
26, Private,179864,0
51, State-gov,88020,0
28, ?,243190,0
33, Private,102270,0
25, Private,81286,2174
23, ?,205690,0
35, State-gov,37314,0
41, Private,29213,0
43, Self-emp-not-inc,451019,0
49, Self-emp-inc,125892,0
45, Private,259412,99999
49, Federal-gov,207540,0
38, Private,110167,0
39, Private,430336,7688
39, Self-emp-inc,210610,0
26, Private,86483,0
17, Private,138507,0
26, Federal-gov,345157,0
71, Local-gov,161342,0
27, Private,159109,0
34, Private,54608,0
35, Local-gov,433602,0
36, Self-emp-not-inc,350103,0
39, Private,166193,0
41, Federal-gov,56236,1506
47, Private,156926,0
36, Private,26698,0
43, Self-emp-not-inc,75993,0
39, Private,312271,0
35, Private,70282,0
22, Private,259109,0
45, Private,192360,0
33, Private,373432,0
21, Local-gov,176998,0
37, Federal-gov,32950,0
30, Self-emp-not-inc,48520,0
47, State-gov,237525,0
45, Private,202746,0
25, Private,179255,0
47, Self-emp-inc,337825,0
68, Self-emp-not-inc,191517,0
27, Private,239130,0
42, Private,233366,3103
36, ?,137492,0
28, Private,66893,0
61, Private,266646,2290
33, Private,238246,0
23, Private,215616,0
40, Private,148316,0
25, Private,172402,0
45, Private,195918,0
23, Private,33016,0
30, Private,267281,0
33, Federal-gov,43608,0
21, Private,57827,0
28, Private,110145,0
42, Private,162884,0
43, State-gov,145166,0
50, Private,193720,7688
48, Private,310639,0
49, Private,196360,0
28, Private,370675,0
36, Private,398931,0
28, Local-gov,104329,0
61, Self-emp-inc,103575,99999
25, State-gov,222800,0
48, Private,176239,0
36, Private,321274,0
46, Private,192713,0
25, Private,407714,0
36, ?,247547,0
45, Private,123219,0
18, Private,165950,0
28, Private,182509,0
39, Private,27408,7298
33, Private,110592,0
28, State-gov,175409,0
48, Private,172822,15020
21, Private,265361,0
26, State-gov,106491,0
40, Private,179557,0
63, Private,187919,5013
45, Private,196707,0
22, Private,216129,0
52, Self-emp-not-inc,100480,0
57, Self-emp-not-inc,69905,15024
38, Private,297767,0
46, Self-emp-not-inc,214627,0
52, Private,251908,0
55, Self-emp-inc,304695,0
21, Private,48121,0
30, Private,125228,0
17, Private,408012,0
57, Private,161642,0
30, Private,181212,0
48, Self-emp-inc,76482,0
24, Private,295073,0
45, ?,69596,0
40, Private,262461,0
34, Local-gov,112680,0
35, Private,342642,0
24, Private,211968,0
47, Local-gov,153536,0
21, Private,188923,0
30, Private,391114,0
52, Private,45599,0
37, Private,119929,0
24, Private,130442,0
41, Private,192602,0
61, Private,328881,0
49, Private,350759,0
76, ?,197988,0
37, Private,188571,0
29, Private,112776,0
21, Private,100345,0
49, Private,291783,0
69, ?,156387,0
38, ?,295166,0
44, Private,132849,0
31, Private,300497,0
54, Private,338089,0
26, Private,104257,0
40, Private,112247,0
41, Federal-gov,73070,0
48, Self-emp-inc,49298,0
51, Local-gov,289390,7298
36, Private,219546,0
35, Private,194490,0
32, Private,358655,0
39, Private,286026,0
55, Private,401473,0
26, Private,197967,0
46, Local-gov,216647,0
70, Self-emp-not-inc,355536,0
20, Private,193130,0
46, Self-emp-inc,67725,0
35, Private,209629,0
20, Private,143964,0
57, Self-emp-inc,249072,99999
64, ?,285742,0
63, Self-emp-not-inc,130221,0
21, Federal-gov,201815,0
43, Local-gov,67243,0
35, Private,202263,0
21, Private,122048,0
23, Private,231866,0
35, Private,211440,0
28, Private,25955,0
61, ?,274499,0
45, Self-emp-not-inc,305474,0
73, Local-gov,222702,0
33, State-gov,120460,0
25, Private,31657,0
19, Private,327079,0
42, Private,234633,0
27, Private,203776,7688
24, Self-emp-inc,242138,0
19, Private,276937,0
36, Private,117528,0
41, Self-emp-not-inc,171351,0
43, Private,138471,0
40, Local-gov,329341,0
57, Private,62539,0
58, Private,265579,0
22, Private,218215,0
39, Federal-gov,116369,0
24, Private,403107,0
29, State-gov,103389,4787
26, State-gov,624006,0
27, Private,344094,0
67, Self-emp-inc,147377,0
49, Private,90579,5013
47, Private,91972,0
59, Self-emp-not-inc,275236,0
23, Private,340432,0
35, Private,158592,3103
48, Private,278303,0
33, Self-emp-not-inc,300681,0
37, Private,160192,6849
29, Private,148429,0
24, Private,210474,0
41, Private,510072,0
21, Self-emp-not-inc,328906,4865
26, Private,247196,0
54, Private,178839,0
60, Private,178764,0
38, Private,218490,0
19, Private,44047,0
41, Local-gov,125268,0
37, Local-gov,76845,0
37, Local-gov,484475,0
22, Private,114357,0
33, Private,219619,15024
22, ?,33016,0
47, Local-gov,319205,0
54, ?,389182,0
34, Private,262118,0
50, Private,141340,0
35, Private,189703,0
41, ?,307589,0
29, Private,116531,0
27, Private,142621,0
44, Self-emp-inc,327573,0
21, Private,24896,0
36, Private,69251,0
38, Private,91716,0
38, Private,93717,0
38, Self-emp-not-inc,111499,0
41, ?,193537,0
24, Private,307267,0
52, Private,249196,0
64, ?,201700,0
52, Private,188644,0
32, Private,255004,0
34, Private,100145,0
18, Private,183274,594
45, Self-emp-not-inc,44671,0
24, Private,354351,0
43, Private,346189,0
49, Private,304864,0
68, Self-emp-inc,505365,0
18, State-gov,268520,0
27, State-gov,210295,0
18, Private,103339,0
33, Private,145437,0
48, Private,56071,0
34, Private,233729,0
41, Private,265932,0
74, Private,154347,0
40, Private,277507,0
53, Federal-gov,172898,0
47, Private,182655,0
20, ?,175431,0
30, Private,181460,0
38, Private,149771,3325
44, Private,45363,0
48, Private,180010,0
36, ?,103886,0
20, Private,233198,0
47, Federal-gov,124974,0
61, ?,29059,0
34, Private,136331,0
43, Private,106900,0
25, Self-emp-not-inc,314464,0
51, State-gov,152810,0
50, State-gov,76728,0
42, Private,55854,0
17, Private,36801,0
51, ?,243631,2105
46, Local-gov,155654,0
51, Private,173987,0
18, Private,115725,0
21, Private,154556,0
33, Self-emp-not-inc,234976,0
27, Private,122913,0
36, Local-gov,187411,0
31, Private,193285,0
27, ?,96219,0
20, Private,117767,0
45, Self-emp-inc,81534,0
22, Private,202125,0
40, Local-gov,225660,0
25, State-gov,203279,0
40, Self-emp-not-inc,151960,0
48, Private,368561,0
30, Private,202046,0
61, Private,197286,0
49, Self-emp-not-inc,285570,0
22, Private,380899,0
19, Private,325217,0
26, Private,111058,0
27, State-gov,162312,0
41, Self-emp-inc,136986,0
33, Federal-gov,97654,0
56, Private,229116,0
43, Private,159549,0
29, Private,195760,0
44, Self-emp-inc,277788,0
37, State-gov,120201,0
24, Private,236601,0
65, ?,94809,0
38, Private,219757,0
35, Local-gov,160728,0
39, Private,308945,0
47, Self-emp-not-inc,185859,3103
47, ?,163748,0
51, State-gov,48358,3103
38, Federal-gov,77792,0
44, Private,114753,0
24, Private,234259,0
41, Private,152617,0
51, Private,204567,0
60, Self-emp-not-inc,145209,0
40, Private,240698,0
72, ?,195181,0
27, Private,299536,0
36, Private,238802,0
44, Private,150519,0
33, State-gov,237903,0
53, Self-emp-not-inc,257940,0
43, Private,383670,0
44, Private,179666,0
35, Private,259727,0
52, Federal-gov,277772,0
51, Self-emp-not-inc,67198,0
41, Private,22419,0
42, Private,99373,0
54, Federal-gov,147629,7298
31, Self-emp-not-inc,145714,0
30, Private,49358,0
21, Private,214956,0
29, Private,66172,0
37, Local-gov,136749,0
27, ?,258231,0
19, Private,43937,0
33, Self-emp-not-inc,114639,0
72, Self-emp-not-inc,104090,0
21, Private,137510,0
23, Private,123586,0
45, Private,293628,0
37, Federal-gov,239409,0
37, Self-emp-inc,593246,0
36, Private,30269,7298
31, Private,48456,0
63, Private,153894,0
24, Private,182117,0
29, Private,231148,0
53, Private,184176,0
40, Self-emp-not-inc,29702,0
40, Private,276759,0
36, Private,179731,0
64, Private,234570,0
33, Private,143485,0
20, Private,143062,0
47, Private,146516,0
19, ?,180395,0
32, Private,108256,0
25, Private,211392,0
26, Federal-gov,271243,0
25, Local-gov,197822,0
40, Self-emp-not-inc,167678,0
30, Private,30101,0
46, Local-gov,232220,0
29, ?,212588,0
35, Private,306156,0
30, Self-emp-not-inc,70985,0
58, Private,185459,0
17, Private,91141,0
42, Private,347653,0
31, Private,189759,0
46, Private,272792,0
27, ?,95708,0
71, ?,111712,0
32, Private,132767,0
62, Self-emp-not-inc,162245,0
78, Self-emp-not-inc,152148,0
54, ?,186565,0
22, Private,193385,0
31, Private,185778,0
32, Private,162370,0
38, Private,340763,0
77, Private,148949,3818
62, Self-emp-not-inc,147393,0
33, Local-gov,187203,0
40, Local-gov,147206,0
65, Private,228182,0
31, Private,177426,0
32, ?,161288,0
32, Private,133530,0
45, Private,117849,0
70, Private,132670,9386
38, Self-emp-inc,98360,0
37, Private,226500,0
30, Private,35644,0
34, Private,49325,0
19, Private,142738,14084
54, Self-emp-not-inc,207841,0
32, Private,269355,5178
32, Self-emp-inc,190290,0
24, Private,209034,0
35, Private,174571,0
28, Private,198583,0
28, Private,128055,0
41, Private,319271,0
38, Private,91857,0
21, Private,376416,0
31, Local-gov,323829,0
22, Private,209646,0
28, State-gov,90872,0
52, Private,287454,0
23, Private,208946,0
37, Local-gov,130805,0
23, Private,247090,0
21, Private,249150,0
57, Private,187138,0
35, Private,166497,0
50, Private,155433,0
45, State-gov,164593,0
37, Private,211168,0
24, Self-emp-not-inc,162688,0
58, Local-gov,185072,0
50, Private,154153,0
58, Self-emp-not-inc,166258,0
31, Self-emp-not-inc,190650,0
60, State-gov,165792,0
61, Private,313170,0
37, Private,188279,0
27, Self-emp-not-inc,209301,0
37, Private,194820,0
36, Private,171393,0
31, Private,268282,0
23, Private,219519,0
44, State-gov,369131,0
21, Private,195571,0
57, Private,114686,2202
24, Private,356861,0
26, Private,156848,0
66, Private,147766,0
60, Local-gov,134768,0
52, Self-emp-not-inc,156882,0
21, Private,131404,0
32, Self-emp-inc,233727,7688
21, ?,216867,0
48, Private,168556,0
63, Private,60459,0
42, Private,212894,0
17, Private,41865,0
30, Private,175413,0
33, Private,149902,0
55, Private,180497,0
39, Self-emp-not-inc,107302,0
33, Private,93283,0
34, Self-emp-not-inc,264351,0
59, State-gov,136819,0
32, Self-emp-not-inc,295010,0
62, Private,291904,0
21, Self-emp-inc,225442,0
57, State-gov,170108,0
19, Private,193859,2176
38, Local-gov,326701,0
38, State-gov,196373,0
20, Private,258730,0
24, Private,190293,0
39, Local-gov,170263,0
24, Private,300275,0
28, State-gov,255254,0
51, Private,166461,5455
27, Private,96219,3418
38, Self-emp-inc,186845,0
24, Private,99697,0
42, Private,143069,0
53, Private,117674,7298
35, Private,261504,0
37, Private,29660,0
45, Private,202560,0
27, Private,178713,0
34, Private,100734,0
24, Private,112009,0
69, Private,144056,0
47, Private,70209,0
19, Private,143816,0
23, ?,164732,0
30, State-gov,714597,0
71, Private,187703,11678
53, Private,418901,0
22, Private,169188,0
47, Private,70554,0
28, Private,31801,0
25, Self-emp-not-inc,195000,0
38, Private,215392,7298
33, Private,97723,0
41, Private,121012,0
19, Private,218956,0
41, Self-emp-not-inc,171003,0
20, Self-emp-inc,154782,0
27, ?,132372,0
18, ?,151404,0
53, Private,816750,0
67, Private,92943,0
47, ?,104489,0
55, Self-emp-not-inc,218456,0
39, Private,301614,0
36, Private,307134,0
37, State-gov,106347,0
36, Private,127961,0
32, Self-emp-inc,206297,0
20, Private,171156,0
31, Private,104729,0
47, Private,85109,13550
25, Private,199143,0
24, Private,110371,0
33, Private,250782,0
45, Private,281574,6849
28, Private,147889,0
36, Private,298753,0
55, Private,248841,0
51, Self-emp-inc,274948,0
22, Private,41763,0
27, ?,176683,0
37, Private,385251,0
23, Private,145964,0
61, Private,33460,0
46, State-gov,121586,0
35, Federal-gov,112008,0
24, Private,163053,0
21, ?,34446,0
33, Self-emp-not-inc,147201,0
60, Private,491214,0
36, Private,102729,0
37, ?,70282,0
48, Self-emp-inc,216214,3103
43, Private,212206,0
53, Local-gov,235567,0
31, Private,356410,99999
26, Private,223558,0
63, Federal-gov,160473,0
51, Private,150999,7298
41, Private,230961,0
71, Private,169114,0
39, Private,301070,0
23, Private,163687,0
35, Private,180419,0
18, Private,114828,0
44, Private,208606,0
19, Private,165977,0
28, Private,110408,0
41, Private,266047,0
52, Private,176124,0
27, Private,144063,0
29, Self-emp-inc,446724,0
59, Private,357118,0
47, Self-emp-not-inc,102388,0
27, Private,191515,0
31, Private,94413,3325
42, Federal-gov,32627,7688
37, Private,218249,0
38, Private,308798,0
24, Private,199005,0
29, State-gov,108432,0
47, Self-emp-not-inc,149218,0
26, Private,552529,0
43, Private,222596,0
31, Private,168961,0
37, Private,206951,0
41, Private,386236,0
20, Private,196388,0
32, Private,162675,0
38, Private,187847,0
39, Private,186934,0
75, ?,27663,0
27, Private,180271,0
35, Private,215503,0
40, Private,110862,0
28, Private,197905,0
25, Private,355124,0
29, Self-emp-not-inc,109621,0
50, Private,194995,0
42, Private,137136,0
47, Private,67229,0
44, Private,197033,0
27, Local-gov,187746,3325
40, Private,98211,0
25, Private,54298,0
48, Self-emp-not-inc,49275,0
22, Private,237386,0
40, Private,67243,0
46, Private,168191,0
25, Private,132327,0
17, Private,175109,0
61, State-gov,224638,0
23, Private,128487,0
30, Private,179747,0
46, Private,195416,0
37, Private,176949,0
31, Private,114691,0
27, State-gov,122540,0
36, Private,93461,0
45, Private,54098,0
22, Private,333838,0
34, Private,174789,0
70, Private,227515,0
45, Federal-gov,391585,7688
23, Private,83315,0
22, Private,213310,0
47, Private,127303,0
29, Private,255476,0
40, Private,320451,0
33, Private,454717,0
23, Private,374474,0
19, Private,78401,0
58, Private,168887,0
55, Private,254711,0
23, Private,196678,0
53, Private,217201,0
24, Private,160398,0
43, Private,288829,0
20, Private,185706,0
22, Private,201615,0
48, Private,157092,0
45, Private,130561,0
33, Private,202450,0
32, Private,303942,0
44, Local-gov,339346,10520
21, ?,234838,0
42, Private,38389,0
35, Private,147548,0
62, Self-emp-not-inc,116626,0
46, Local-gov,110110,0
44, Private,230478,0
28, Private,398220,0
38, Self-emp-not-inc,187346,0
59, Self-emp-not-inc,175827,0
37, Private,211494,0
59, Private,105745,0
55, Private,237428,0
40, Private,200766,14344
22, State-gov,24896,0
35, Private,107164,0
42, Private,202083,0
45, State-gov,53768,0
48, Private,159577,0
76, ?,209674,0
21, Private,309348,0
31, Private,206046,0
65, Self-emp-not-inc,227531,0
46, Self-emp-not-inc,135339,0
18, Private,155503,0
65, Self-emp-not-inc,176835,7978
18, Private,163067,0
35, Private,212607,0
53, Self-emp-inc,162381,15024
34, Private,195890,0
33, Federal-gov,49358,0
28, Private,136077,0
43, Private,119297,0
52, Private,48947,0
49, Self-emp-not-inc,32825,0
21, State-gov,82847,0
61, Private,119684,0
54, Private,264143,0
45, Private,30690,0
24, Private,113631,0
26, Private,366889,0
40, Private,393962,0
48, Private,165484,0
40, Federal-gov,90737,0
34, Private,379798,0
29, Private,190911,0
25, Private,72887,0
65, Private,192309,0
58, Self-emp-not-inc,98361,0
47, Private,121253,0
56, State-gov,270859,0
26, Self-emp-not-inc,223705,0
45, Private,125892,0
37, Self-emp-not-inc,202683,0
58, ?,99131,7298
56, Private,197577,0
19, Without-pay,43627,0
37, Private,175185,0
19, Private,377405,0
24, Private,47541,0
36, Private,218729,0
26, Local-gov,197430,0
57, Private,259010,0
49, Private,121124,0
21, ?,334593,0
40, Private,374764,0
59, Private,192845,0
36, Private,144524,0
31, Self-emp-inc,136402,0
29, Private,177955,0
35, Private,151835,99999
18, Private,65098,0
27, Self-emp-not-inc,328119,0
55, Private,125147,0
52, Private,62834,0
51, State-gov,230095,0
41, Federal-gov,348059,0
34, Private,425622,0
25, Local-gov,336320,0
28, Private,225809,0
80, Private,216073,0
27, Private,267912,0
28, Private,108706,0
43, Private,575172,3103
18, Private,311489,0
46, Private,189123,7298
42, Private,95998,0
50, Self-emp-inc,177487,0
30, Private,213002,0
55, Private,272723,0
58, Private,84231,0
41, Private,475322,0
25, Private,120268,0
22, ?,60331,0
59, Private,172618,0
36, State-gov,173273,0
25, Private,52921,0
19, Private,210364,0
34, Private,87310,2174
51, Private,332489,0
31, Private,100333,0
21, Private,216867,0
36, ?,177974,0
51, Private,292110,0
39, Federal-gov,219137,0
34, Private,159589,0
38, Private,186815,0
21, Private,22149,0
22, Private,228724,0
29, State-gov,187392,0
25, Private,105930,0
53, State-gov,182907,0
68, Private,322025,0
21, Private,263886,0
34, Local-gov,362775,0
53, Private,96062,0
59, ?,191665,0
32, Self-emp-not-inc,159322,0
33, Local-gov,163867,0
34, Self-emp-not-inc,136204,0
61, Private,160431,0
46, Private,163324,0
32, ?,161309,15024
26, Private,208881,0
37, Self-emp-not-inc,183127,0
41, Private,192225,0
59, Local-gov,222081,0
28, Private,183627,0
39, Private,187921,0
25, Private,25497,4101
45, Private,353824,0
30, Private,250804,0
61, Private,385583,0
52, Private,84788,0
54, Private,127704,0
54, ?,99208,0
45, Private,347993,0
48, Private,175958,0
36, Self-emp-not-inc,278553,15024
49, Private,186009,0
31, Private,55104,0
65, Local-gov,179411,0
56, Private,68452,0
38, Local-gov,202027,0
70, Private,113401,0
37, Private,186934,0
43, Federal-gov,190020,0
28, Private,198493,0
42, Private,256448,0
30, Private,622192,0
77, Private,133728,0
33, Private,181824,0
17, Private,286422,0
59, Private,378585,0
44, Private,121012,5013
33, Private,164864,0
17, Private,74706,0
22, Private,185582,0
43, Private,132633,0
42, Federal-gov,230438,0
26, Private,175540,0
47, Local-gov,115304,0
28, Private,340269,3137
33, Private,171889,0
52, Private,94873,0
34, ?,144194,0
44, Private,141131,0
25, Private,192735,0
33, Self-emp-not-inc,238186,0
23, Private,305609,0
29, Private,312845,0
21, Private,33884,0
23, ?,264874,0
31, State-gov,268832,0
42, Private,99651,0
39, Private,257597,0
54, Self-emp-inc,195904,0
17, Private,266497,0
63, Private,287972,0
46, Private,200569,0
62, Local-gov,117292,8614
64, ?,223075,0
54, Private,175339,0
22, Self-emp-inc,333197,0
61, Private,53707,0
73, Private,39212,0
52, Private,228500,0
24, Private,234663,0
52, ?,88073,0
35, Private,420040,0
41, Private,126517,0
31, Private,238002,0
53, State-gov,21412,0
25, Private,147804,0
19, Private,222445,0
36, Private,126675,0
42, Private,301080,0
45, Private,382532,0
33, Private,232356,0
26, Private,167350,3137
28, ?,375703,0
33, Private,252708,0
33, Private,186824,0
36, Private,176101,0
21, Private,175121,0
17, Private,355850,0
45, Private,180931,0
45, State-gov,30219,0
41, Federal-gov,350387,0
24, Private,194247,0
57, Private,137653,0
48, Private,131762,0
31, Self-emp-not-inc,283587,0
33, Self-emp-inc,218164,7298
41, Private,287581,7688
41, Private,281725,0
63, Private,50120,0
39, Private,156667,0
28, Private,566066,0
42, Private,121352,0
18, Private,260977,0
22, Private,90860,0
42, Private,218302,0
47, Private,170142,0
33, Local-gov,171889,0
34, Private,193172,0
18, Private,164134,0
66, Private,204283,0
51, ?,81169,0
39, Private,92143,7688
35, Private,181099,0
56, State-gov,102791,0
46, Local-gov,364548,0
21, Self-emp-inc,153516,0
58, Self-emp-not-inc,189528,0
66, Local-gov,154171,0
25, Private,90752,0
57, Private,278763,0
28, Private,253581,0
38, Private,59660,0
57, Self-emp-not-inc,170988,0
18, ?,160984,0
24, Private,493732,0
36, Private,325802,0
42, Private,196344,0
32, State-gov,316589,0
35, Self-emp-inc,365739,0
40, Private,309990,0
26, Private,241852,0
41, Private,184105,0
50, Private,134680,0
20, Private,274545,0
36, Private,207853,15024
25, Private,284061,0
62, Private,186446,0
22, Private,255575,0
52, Federal-gov,302661,13550
52, Private,148509,0
48, Private,211239,0
70, Private,50468,0
41, Private,316820,0
21, Private,145964,7298
39, Private,185084,0
29, Private,183111,0
28, Private,63042,0
31, Private,339738,0
23, Private,273049,0
54, State-gov,239256,0
73, Self-emp-not-inc,110102,0
29, State-gov,165764,0
22, Private,152744,0
57, Local-gov,212303,0
41, Self-emp-not-inc,118544,0
39, Private,269548,0
25, State-gov,319303,0
74, Without-pay,216001,0
45, Private,205816,0
18, Private,427437,0
24, Private,198259,0
45, Private,54314,0
32, Private,195744,0
53, Local-gov,294547,0
50, Private,77521,0
35, Private,288158,0
24, Private,125010,0
32, Private,80945,0
21, Private,33016,0
42, Private,388725,0
37, Local-gov,347136,0
53, Self-emp-inc,158294,99999
34, Private,362787,0
29, Private,39388,0
55, Private,322691,0
29, Private,31659,2202
70, Private,176940,0
26, Local-gov,189027,0
51, Private,98719,0
58, Private,172238,0
23, ?,170456,0
27, Private,129009,0
17, Private,247580,0
29, Private,204516,0
26, Private,192652,0
31, Private,336543,0
29, ?,143938,0
22, Private,272591,0
28, Local-gov,312372,0
28, Local-gov,172270,0
20, Private,342414,0
58, Private,123886,0
23, Private,398130,0
34, Private,142989,0
32, Private,331539,0
19, Private,225156,0
18, ?,311863,0
35, Local-gov,170682,0
21, Private,96178,0
20, ?,37932,0
49, Private,198126,0
34, Private,344275,0
37, Private,112497,0
36, Private,178487,0
44, Private,55395,0
39, Local-gov,131239,0
36, Self-emp-not-inc,104772,3908
53, Private,427320,3325
34, ?,73296,0
24, Private,216853,0
40, Private,259757,0
47, Private,200734,0
19, ?,87515,0
18, Private,161245,0
32, Private,262024,0
21, Private,287681,0
27, Private,303601,0
58, ?,365410,0
29, Self-emp-not-inc,394356,0
34, Private,263150,0
45, State-gov,86618,0
43, Private,120277,0
63, Federal-gov,90393,0
26, Self-emp-inc,79078,0
42, State-gov,197344,0
21, Private,120998,0
36, Private,37522,15024
44, Private,96321,0
18, Private,217302,0
69, Private,137109,0
40, Private,227823,0
37, Private,22149,0
39, Private,176900,0
57, Private,154368,0
28, Private,183445,0
23, Private,193537,0
20, Private,313873,0
46, Private,34186,0
44, State-gov,271807,0
67, ?,46449,0
31, Private,128065,0
24, Private,176486,0
54, Private,191072,0
28, Private,34452,0
30, State-gov,123253,0
42, Private,113461,0
17, Private,116267,0
32, Private,30433,0
25, Private,198512,0
49, Self-emp-inc,131826,99999
35, Private,129764,0
32, Private,49398,10520
17, Local-gov,292285,0
61, Federal-gov,91726,0
56, Private,178282,0
50, Private,227458,0
32, Private,183470,0
41, Private,275446,0
41, Private,328013,0
19, Private,382688,0
18, Private,122988,0
25, Private,175537,0
21, Private,256278,0
34, Private,161153,0
31, Private,48189,0
36, Private,186531,0
19, Private,96866,0
35, Private,117555,0
18, ?,98549,0
39, Private,101782,0
30, Private,234753,0
59, Private,59469,0
28, Private,614113,0
47, Private,203505,0
27, Private,128365,0
56, Private,36990,0
18, Private,303240,0
76, ?,217043,0
56, Private,176079,15024
40, Self-emp-inc,266047,0
39, Self-emp-inc,285890,0
24, Private,70261,0
23, Private,214236,0
36, Self-emp-not-inc,143385,0
55, Private,150507,0
23, Private,292264,0
39, Self-emp-inc,110861,0
32, Private,225064,0
32, Private,154120,0
17, Private,34465,0
29, Private,89598,0
54, Private,183668,0
37, Private,189382,0
67, ?,165103,0
48, Private,44216,0
17, Private,150471,0
41, Private,32627,0
43, Self-emp-not-inc,153109,0
29, Private,352451,0
43, Private,176716,0
46, Federal-gov,171850,0
42, Private,260496,0
36, Private,154410,0
31, Self-emp-not-inc,23500,0
60, Private,178312,0
50, Private,62593,0
30, Private,123291,0
22, Private,313817,0
57, State-gov,229270,0
43, Private,212027,0
58, Private,259532,0
26, Local-gov,213258,0
26, Private,316337,0
38, Private,179123,0
26, Private,191765,0
59, Self-emp-inc,188877,0
41, Private,55395,0
21, Private,161051,0
30, Private,241844,0
36, Private,232142,0
43, Private,311534,0
68, Self-emp-not-inc,128986,0
18, Private,67019,0
23, Private,208826,0
43, Private,256813,0
44, Private,160919,0
43, Private,107584,0
59, Self-emp-inc,159472,0
35, Private,408318,0
61, Private,194956,0
52, State-gov,21764,0
37, Private,277347,0
57, Private,104455,0
30, Private,117584,0
